target_label,target_column,variable,standardised_coefficient,abs_coefficient
any_unpaid_care,pct_unpaid_care_any_2021,pct_retired_2021,2.2106,2.2106
any_unpaid_care,pct_unpaid_care_any_2021,pct_65_plus_2021,-1.1941,1.1941
any_unpaid_care,pct_unpaid_care_any_2021,pct_long_term_sick_disabled_2021,0.9581,0.9581
any_unpaid_care,pct_unpaid_care_any_2021,pct_unemployed_2021,-0.2627,0.2627
any_unpaid_care,pct_unpaid_care_any_2021,pct_asian_2021,0.1573,0.1573
any_unpaid_care,pct_unpaid_care_any_2021,ethnic_diversity_index_2021,-0.1367,0.1367
any_unpaid_care,pct_unpaid_care_any_2021,pct_student_2021,-0.1092,0.1092
any_unpaid_care,pct_unpaid_care_any_2021,pct_female_2021,0.1035,0.1035
any_unpaid_care,pct_unpaid_care_any_2021,pct_mixed_2021,-0.081,0.081
any_unpaid_care,pct_unpaid_care_any_2021,pct_black_2021,0.0778,0.0778
any_unpaid_care,pct_unpaid_care_any_2021,youth_dependency_ratio_2021,0.0367,0.0367
any_unpaid_care,pct_unpaid_care_any_2021,pct_other_ethnic_group_2021,0.0316,0.0316
any_unpaid_care,pct_unpaid_care_any_2021,pct_looking_after_home_family_2021,-0.0249,0.0249
care_20_plus,pct_care_20_plus_2021,pct_retired_2021,1.5162,1.5162
care_20_plus,pct_care_20_plus_2021,pct_65_plus_2021,-1.03,1.03
care_20_plus,pct_care_20_plus_2021,pct_long_term_sick_disabled_2021,1.0056,1.0056
care_20_plus,pct_care_20_plus_2021,pct_mixed_2021,-0.2651,0.2651
care_20_plus,pct_care_20_plus_2021,pct_looking_after_home_family_2021,0.1952,0.1952
care_20_plus,pct_care_20_plus_2021,ethnic_diversity_index_2021,0.118,0.118
care_20_plus,pct_care_20_plus_2021,pct_female_2021,0.0936,0.0936
care_20_plus,pct_care_20_plus_2021,pct_student_2021,-0.0751,0.0751
care_20_plus,pct_care_20_plus_2021,pct_black_2021,0.0686,0.0686
care_20_plus,pct_care_20_plus_2021,pct_other_ethnic_group_2021,-0.0407,0.0407
care_20_plus,pct_care_20_plus_2021,pct_unemployed_2021,-0.031,0.031
care_20_plus,pct_care_20_plus_2021,youth_dependency_ratio_2021,-0.0141,0.0141
care_20_plus,pct_care_20_plus_2021,pct_asian_2021,-0.0035,0.0035
