k,silhouette_score,calinski_harabasz_score,davies_bouldin_score,inertia,smallest_cluster,largest_cluster
2,0.3581,3262.61,1.3544,105255.67,2250,5014
3,0.2083,2527.82,1.4281,89928.94,1571,3008
4,0.2286,2287.81,1.3627,78413.83,1251,2624
5,0.2397,2168.58,1.2472,69496.88,171,2450
6,0.2369,2170.09,1.261,61140.76,157,2386
7,0.2084,2042.43,1.3045,56736.15,157,2169
8,0.2035,1920.55,1.3991,53471.87,148,2109
9,0.2008,1828.2,1.3645,50579.36,153,2019
10,0.1906,1737.96,1.3528,48330.27,151,1586
11,0.19,1653.57,1.3628,46509.6,150,1512
12,0.1771,1587.23,1.3967,44766.77,150,1361
